metabolite_name	Control3	AD6	AD7	Control9	AD2	Control2	AD8	Control10	AD11	Control11	AD10	AD1	Control7	AD3	Control8	AD5	Control6	Control4
(5-L-Glutamyl)-L-glutamine	52444.86	78557.65	68689.95	41554.21	74023.12	56694.23	61136.99	135430.60	52950.30	71793.14	14085.12	33393.79	127445.50	50549.84	49106.39	79421.56	68009.52	3800.29
Cystathionine	40736.75	55631.67	40689.26	6924.24	13885.92	48648.04	19373.88	61741.70	16168.94	37364.07	13047.49	21714.06	114912.60	14413.66	27582.47	4919.72	15608.91	16939.01
3-Phosphonopyruvate	655544.80	78340.54	642049.80	21576.76	1212269.00	136159.80	759292.00	44443.50	615135.20	945551.10	75011.00	9557.02	23301.97	2091123.00	692032.60	720644.20	1173581.00	66144.06
Ornithine	109382.10	20061.80	110244.40	79527.07	340225.20	95537.50	177245.90	88140.29	101447.80	71718.54	267566.80	55823.09	75795.55	53873.58	41465.12	93745.84	47906.68	28123.45
L-Citrulline	110708.90	14318.18	114632.70	70621.90	334160.50	100219.00	175138.60	77528.76	97414.34	60925.01	259957.90	49374.15	69082.41	44691.26	47281.76	98604.62	48401.07	46219.98
N-Acetylneuraminate	71745.78	67420.59	128406.00	23671.39	83958.59	73379.45	161148.80	223449.00	81734.46	158022.60	59784.70	48397.99	102624.50	143956.70	113295.20	85292.11	111977.50	31108.41
UDP-N-acetyl-D-glucosamine	295933.50	151483.80	208297.40	88617.15	163589.20	134966.00	198497.50	203649.90	194605.50	213749.70	86531.73	90603.12	153777.40	271662.00	195711.60	93180.65	166196.10	91724.62
CMP-N-acetylneuraminate	58046.89	9965.44	28974.43	2315.12	23999.50	21387.26	27575.49	47707.38	8593.27	23896.10	9547.04	20950.65	24457.66	48265.53	31154.96	15029.57	33875.90	6628.50
Glycolate	266699.80	409269.40	206155.90	298426.60	412952.20	432181.40	229800.00	398408.90	193702.20	305290.00	384810.20	233472.00	231874.20	202923.00	210082.20	154598.50	195517.30	311328.40
trans-4-Hydroxy-L-proline	451914.70	260654.60	461424.80	77811.28	327699.60	563432.60	414466.40	463527.80	185596.10	522884.30	474641.10	297582.80	566693.40	450676.30	213533.60	131831.00	354235.30	216477.50
Pantothenol	1746260.00	2853859.00	1354250.00	186361.10	1344254.00	1675999.00	2000860.00	1810683.00	1484998.00	2354006.00	1849273.00	858825.70	1974861.00	1400988.00	1889666.00	1043598.00	811348.20	1013020.00
5-6-Dihydrouracil	119216.70	80248.76	102563.20	51368.56	161079.50	89603.20	146522.10	193917.70	154667.40	133960.90	76532.72	81843.26	156063.30	127831.80	93895.16	105359.50	124639.30	40681.52
Pantetheine	116363.60	60936.19	125817.30	13146.52	98604.27	59679.61	154567.90	275946.10	157639.90	186818.50	56097.14	17265.75	116517.50	78555.80	106073.40	61971.42	79464.12	19252.17
Pantetheine 4--phosphate	32403.37	0.00	38524.53	2124.14	37039.45	14063.57	43002.44	17554.38	34527.59	55199.70	6967.73	3586.34	13474.33	23025.38	27791.76	24432.34	8293.89	13231.08
Taurine	53331.91	18508.11	43761.27	16394.48	89834.12	49016.85	104546.10	64912.16	62146.47	74344.20	76403.63	24083.05	74620.59	46655.45	44437.75	54563.30	41946.33	24257.71
3-Methyleneoxindole	914758.10	697184.40	757688.50	518222.50	798244.00	680908.60	719971.50	772946.60	691611.90	745369.20	698285.60	699990.00	821880.20	694146.90	639920.30	468243.50	555245.80	609868.10
Indole	7144.01	8960.27	6056.48	2199.90	9010.35	6086.90	8095.88	12377.79	7951.64	9666.25	6308.11	2388.17	11031.86	8253.47	5221.79	4613.19	6982.67	858.75
Indole-3-acetaldehyde	70555.93	157525.80	259941.10	51945.94	274517.80	156398.90	233963.40	499006.10	436250.50	291961.60	192752.40	109227.80	158300.70	237355.60	276394.50	236989.20	408517.90	78021.90
Indolepyruvate	20010.24	36513.48	18687.80	10361.30	22471.63	12723.78	22432.10	30876.54	25889.55	19801.84	12780.52	10474.98	18183.90	29454.50	14311.20	32081.86	31201.58	1894.03
Indoxyl	31210.87	20367.03	25994.68	8929.48	44569.39	18175.17	42867.00	44849.94	38448.27	36890.75	18701.07	16961.61	47075.14	33472.43	27400.36	24075.97	26650.56	3636.14
Glycerol 3-phosphate	63429.64	12691.65	75197.32	22204.08	95000.31	44651.61	78992.55	110898.50	79259.37	84033.41	29541.40	35363.91	32668.25	107990.70	42089.90	67700.34	93940.41	19153.52
Ethanolamine phosphate	3289280.00	1443953.00	2444782.00	678281.10	4579888.00	2425296.00	4283786.00	3821053.00	4011721.00	4183896.00	2160437.00	1187848.00	2977278.00	3351200.00	2565123.00	1502853.00	1935806.00	958104.40
CDP-choline	19144.57	5307.63	19136.41	3943.59	36643.56	15562.83	19864.23	29627.04	35281.23	27660.36	9082.83	8375.73	16011.22	29978.93	11821.89	10717.82	21047.80	3059.03
Sphinganine 1-phosphate	82190.66	45176.47	57789.94	79683.33	82293.37	93579.88	78724.81	45687.80	95572.20	78667.16	74550.76	43773.63	44795.04	90097.91	85063.88	116287.60	64183.22	58369.83
Butanoic acid	94775.74	96325.62	92910.70	46892.16	158006.00	97800.88	79646.12	74631.10	73999.07	111439.70	107757.80	64829.76	95812.19	127423.30	70674.05	40658.13	72963.90	60482.95
Hexanoic acid (caproate)	177513.50	108368.90	152120.10	588441.70	389393.00	157128.80	159862.30	150688.00	244344.80	174523.60	167876.00	148223.50	173239.80	181460.90	174127.40	231204.00	221057.40	187195.80
Heptanoic acid	293118.90	251899.60	242197.80	423267.30	315696.40	278339.40	241172.40	235423.60	253867.50	242171.80	266802.80	257209.00	297986.00	247053.20	243249.80	218629.80	216323.60	244856.60
Octanoic acid (caprylate)	233558.70	97706.88	196063.20	275720.70	214737.30	174733.40	155148.00	179319.70	196051.40	218767.00	152554.20	189429.00	218013.40	236189.10	228809.60	333335.90	257319.80	170618.10
Nonanoic acid (pelargonate)	1231088.00	1361919.00	1107190.00	1435912.00	1414492.00	1151602.00	1279714.00	1051428.00	1136453.00	1080636.00	990010.30	1138113.00	1066807.00	1218588.00	1055248.00	1153682.00	1026933.00	1014870.00
Decanoic acid (caprate)	1061740.00	921690.00	1008303.00	1312781.00	1152744.00	984953.90	938688.30	957931.00	992911.20	976745.60	1032821.00	973964.50	909025.50	1032782.00	868803.20	965114.50	960431.70	943788.40
Dodecanoic acid	1233527.00	842144.80	1243133.00	1191742.00	1232089.00	1091923.00	949935.50	1004698.00	1442845.00	771663.80	1075140.00	814534.70	1004875.00	1027815.00	974982.20	966867.80	1146124.00	982502.20
Tetradecanoic acid	5860884.00	2333793.00	4027420.00	5574770.00	5769874.00	3656538.00	3655552.00	3538980.00	5315700.00	2815267.00	4047374.00	2084035.00	3038657.00	3441037.00	2864649.00	5109842.00	3135537.00	3038745.00
Hexadecanoic acid	81334100.00	40842290.00	43307700.00	71139420.00	59289560.00	75745860.00	52146110.00	37354510.00	62434750.00	40778480.00	54905090.00	30338610.00	32009520.00	56300320.00	45684800.00	81943750.00	44363390.00	38672760.00
