metabolite_name	Control3	AD6	AD7	Control9	AD2	Control2	AD8	Control10	AD11	Control11	AD10	AD1	Control7	AD3	Control8	AD5	Control6	Control4
O-dodecenoyl-carnitine	28267.33	65057.38	78215.32	29287.35	56682.25	67437.37	51568.36	72263.57	80957.18	64022.21	80625.48	53698.69	27641.03	57735.59	67010.79	47396.38	50171.36	73874.56
Hexadecenoyl-carnitine	4900.68	21691.59	25782.27	9134.43	14294.52	19900.49	17315.15	20778.93	19826.83	21947.69	23307.58	15239.88	13356.17	15362.96	24172.32	0.00	23964.65	17904.37
Octadecanoyl-L-carnitine	2484.38	4454.47	162938.00	30098.71	2620.83	0.00	2060.12	2884.86	4100.67	4646.59	7051.40	1957.69	10634.46	19152.02	65901.19	9840.03	2987.48	13421.22
Nicotinic acid	608165.20	1305527.00	1752503.00	244179.90	1600110.00	1392306.00	1189120.00	1653940.00	1927485.00	2077054.00	1474396.00	595389.30	1018634.00	676497.80	1314234.00	399458.00	1398768.00	713683.50
1-Hydroxy-2-aminoethylphosphonate	346512.20	122539.60	477292.00	226672.40	605824.10	282214.50	398242.70	685588.40	985474.50	628828.60	179622.30	179114.70	304055.90	834796.00	659189.30	1348659.00	798865.20	121340.50
N5-Methyl-L-glutamine	2924456.00	1552210.00	3486196.00	985535.00	1936418.00	2078183.00	2154935.00	4719088.00	3420159.00	4691404.00	1532208.00	1701321.00	4419018.00	1832944.00	2968178.00	1876674.00	2500480.00	548200.80
6-Lactoyl-5-6-7-8-tetrahydropterin	218387.80	131365.90	340941.20	69211.32	264614.70	211707.00	206387.50	293858.90	282800.80	323289.80	198169.00	118480.10	191093.10	835493.00	302014.60	554867.90	430587.60	163014.20
2-Deoxy-alpha-D-glucoside	412296.40	642741.00	858694.70	177758.10	718117.60	667647.70	663649.60	748056.30	871413.20	1015325.00	787869.80	300619.50	582938.10	421651.60	594918.50	243308.10	719572.20	313714.60
cis-p-Coumarate	2269415.00	1290976.00	2958165.00	1247817.00	4261580.00	2190570.00	6481438.00	5795950.00	6539302.00	5103229.00	1906140.00	1744114.00	2893710.00	6536382.00	3819417.00	5704504.00	7110386.00	558735.90
N-Acyl-D-mannosaminolactone	200178.40	588551.60	763534.20	194530.00	353864.70	437248.40	340857.20	441801.20	554504.10	394474.10	784107.00	352805.50	216982.50	185465.80	620665.90	264602.50	637944.60	738346.80
Pyridoxamine	990889.20	589771.80	1074819.00	256939.20	1457699.00	675310.60	1181687.00	1111549.00	1479691.00	1090963.00	714847.70	370357.10	759765.30	1875946.00	783615.30	2009247.00	1613352.00	258069.60
N-Amidino-L-aspartate	3046621.00	2456209.00	1491051.00	1036346.00	3146502.00	2579190.00	2966915.00	3028695.00	1477881.00	2115488.00	3316907.00	2040103.00	4082593.00	2135447.00	1675942.00	467516.20	1260164.00	1357483.00
L-Noradrenaline	270659.80	513633.20	160437.90	44438.26	132919.00	291308.20	97525.73	40397.46	65879.09	231894.30	276731.20	90989.38	185630.40	559071.20	181496.10	242040.90	280735.20	280130.00
N-Acyl-D-aspartate	353455.20	278070.90	115210.30	231121.80	281484.60	332845.00	5388230.00	281392.90	94312.49	131118.00	1758514.00	154115.40	122750.20	20203.78	150609.20	145958.80	175226.10	144361.20
2-Oxo-7-methylthioheptanoic acid	2104055.00	1120606.00	2290557.00	522173.20	3221162.00	1211600.00	2358610.00	1964202.00	3391722.00	2324636.00	1215521.00	882680.00	1186694.00	3540615.00	1715931.00	4322608.00	3228300.00	633782.20
